Sales_Person,Country,Product,Date,Amount,Boxes_Shipped,Year,Month,Day,Day_Name,Day_of_Week,Week,Quarter,Weekend,Revenue_per_Box,Product_ID,Country_ID,Salesperson_ID,Lag_1,Lag_7,Rolling_7,Rolling_30
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615,137,2022,6,24,Friday,4,25,2,0,48.284671532846716,0,1,20,308.0,139.0,197.85714285714286,156.6
Curtice Advani,Australia,50% Dark Bites,2022-06-29,504,232,2022,6,29,Wednesday,2,26,2,0,2.1724137931034484,0,0,6,137.0,227.0,198.57142857142858,162.1
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670,64,2022,6,29,Wednesday,2,26,2,0,88.59375,0,3,9,232.0,182.0,181.71428571428572,157.5
Camilla Castle,India,50% Dark Bites,2022-07-04,9275,411,2022,7,4,Monday,0,27,3,0,22.5669099756691,0,2,4,64.0,124.0,222.71428571428572,167.33333333333334
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472,135,2022,7,5,Tuesday,1,27,3,0,25.71851851851852,0,2,13,411.0,106.0,226.85714285714286,168.5
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626,10,2022,7,11,Monday,0,28,3,0,362.6,0,3,23,135.0,301.0,185.28571428571428,164.1
Van Tuxwell,Australia,50% Dark Bites,2022-07-13,644,137,2022,7,13,Wednesday,2,28,3,0,4.700729927007299,0,0,23,10.0,308.0,160.85714285714286,168.26666666666668
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919,65,2022,7,15,Friday,4,28,3,0,44.90769230769231,0,1,15,137.0,137.0,150.57142857142858,169.1
Gigi Bohling,UK,50% Dark Bites,2022-07-18,8197,69,2022,7,18,Monday,0,29,3,0,118.79710144927536,0,4,9,65.0,232.0,127.28571428571429,163.96666666666667
Barr Faughny,Canada,50% Dark Bites,2022-07-19,10185,303,2022,7,19,Tuesday,1,29,3,0,33.613861386138616,0,1,1,69.0,64.0,161.42857142857142,173.66666666666666
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350,6,2022,7,25,Monday,0,30,3,0,1225.0,0,0,17,303.0,411.0,103.57142857142857,163.53333333333333
Beverie Moffet,USA,50% Dark Bites,2022-07-28,2450,352,2022,7,28,Thursday,3,30,3,0,6.9602272727272725,0,5,2,6.0,135.0,134.57142857142858,173.3
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995,78,2022,8,2,Tuesday,1,31,3,0,115.32051282051282,0,0,14,352.0,10.0,144.28571428571428,172.0
Kaine Padly,USA,50% Dark Bites,2022-08-03,70,27,2022,8,3,Wednesday,2,31,3,0,2.5925925925925926,0,5,14,78.0,137.0,128.57142857142858,162.46666666666667
Wilone O'Kielt,Australia,50% Dark Bites,2022-08-03,10031,114,2022,8,3,Wednesday,2,31,3,0,87.99122807017544,0,0,24,27.0,65.0,135.57142857142858,161.9
Gunar Cockshoot,India,50% Dark Bites,2022-08-09,12992,83,2022,8,9,Tuesday,1,32,3,0,156.53012048192772,0,2,10,114.0,69.0,137.57142857142858,164.23333333333332
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889,52,2022,8,19,Friday,4,33,3,0,286.3269230769231,0,0,11,83.0,303.0,101.71428571428571,164.0
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653,314,2022,8,24,Wednesday,2,34,3,0,8.449044585987261,0,4,0,52.0,6.0,145.71428571428572,169.43333333333334
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063,104,2022,1,10,Monday,0,2,1,0,67.91346153846153,1,0,23,0.0,0.0,0.0,0.0
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136,125,2022,1,12,Wednesday,2,2,1,0,25.088,1,0,5,104.0,0.0,0.0,0.0
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364,196,2022,1,14,Friday,4,2,1,0,37.57142857142857,1,5,9,125.0,0.0,0.0,0.0
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927,141,2022,1,24,Monday,0,4,1,0,77.49645390070921,1,1,17,196.0,0.0,0.0,0.0
Kaine Padly,India,70% Dark Bites,2022-01-24,12173,301,2022,1,24,Monday,0,4,1,0,40.44186046511628,1,2,14,141.0,0.0,0.0,0.0
Curtice Advani,Canada,70% Dark Bites,2022-01-31,2303,7,2022,1,31,Monday,0,5,1,0,329.0,1,1,6,301.0,0.0,0.0,0.0
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131,285,2022,1,31,Monday,0,5,1,0,18.003508771929823,1,1,11,7.0,0.0,165.57142857142858,0.0
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859,108,2022,2,7,Monday,0,6,1,0,54.25,1,0,7,285.0,104.0,166.14285714285714,0.0
Kaine Padly,Australia,70% Dark Bites,2022-02-08,6706,223,2022,2,8,Tuesday,1,6,1,0,30.071748878923767,1,0,14,108.0,125.0,180.14285714285714,0.0
Jan Morforth,Canada,70% Dark Bites,2022-02-14,5894,305,2022,2,14,Monday,0,7,1,0,19.324590163934428,1,1,12,223.0,196.0,195.71428571428572,0.0
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603,352,2022,2,14,Monday,0,7,1,0,24.44034090909091,1,3,19,305.0,141.0,225.85714285714286,0.0
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397,239,2022,2,16,Wednesday,2,7,1,0,22.581589958158997,1,4,17,352.0,301.0,217.0,0.0
Madelene Upcott,New Zealand,70% Dark Bites,2022-02-22,13356,93,2022,2,22,Tuesday,1,8,1,0,143.61290322580646,1,3,17,239.0,7.0,229.28571428571428,0.0
Jan Morforth,Australia,70% Dark Bites,2022-03-04,5222,384,2022,3,4,Friday,4,9,1,0,13.598958333333334,1,0,12,93.0,285.0,243.42857142857142,0.0
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658,77,2022,3,15,Tuesday,1,11,1,0,8.545454545454545,1,5,7,384.0,108.0,239.0,0.0
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223,181,2022,3,16,Wednesday,2,11,1,0,34.38121546961326,1,4,20,77.0,223.0,233.0,0.0
Roddy Speechley,UK,70% Dark Bites,2022-03-24,1421,284,2022,3,24,Thursday,3,12,1,0,5.003521126760563,1,4,22,181.0,305.0,230.0,0.0
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,7231,38,2022,3,24,Thursday,3,12,1,0,190.28947368421052,1,3,14,284.0,352.0,185.14285714285714,0.0
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262,15,2022,4,8,Friday,4,14,2,0,684.1333333333333,1,1,0,38.0,239.0,153.14285714285714,0.0
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565,258,2022,4,14,Thursday,3,15,2,0,21.569767441860463,1,4,13,15.0,93.0,176.71428571428572,0.0
Brien Boise,India,70% Dark Bites,2022-04-14,4641,413,2022,4,14,Thursday,3,15,2,0,11.23728813559322,1,2,3,258.0,384.0,180.85714285714286,0.0
Brien Boise,USA,70% Dark Bites,2022-04-14,1694,21,2022,4,14,Thursday,3,15,2,0,80.66666666666667,1,5,3,413.0,77.0,172.85714285714286,0.0
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710,260,2022,4,15,Friday,4,15,2,0,14.26923076923077,1,0,17,21.0,181.0,184.14285714285714,0.0
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048,477,2022,4,29,Friday,4,17,2,0,12.679245283018869,1,0,4,260.0,284.0,211.71428571428572,0.0
Husein Augar,India,70% Dark Bites,2022-05-09,6454,157,2022,5,9,Monday,0,19,2,0,41.10828025477707,1,2,11,477.0,38.0,228.71428571428572,0.0
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571,122,2022,5,11,Wednesday,2,19,2,0,37.467213114754095,1,5,5,157.0,15.0,244.0,0.0
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018,100,2022,5,12,Thursday,3,19,2,0,40.18,1,5,14,122.0,258.0,221.42857142857142,0.0
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075,344,2022,5,23,Monday,0,21,2,0,14.752906976744185,1,2,15,100.0,413.0,211.57142857142858,0.0
Beverie Moffet,India,70% Dark Bites,2022-06-01,448,146,2022,6,1,Wednesday,2,22,2,0,3.0684931506849313,1,2,2,344.0,21.0,229.42857142857142,0.0
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077,77,2022,6,2,Thursday,3,22,2,0,91.9090909090909,1,1,23,146.0,260.0,203.28571428571428,194.43333333333334
Kelci Walkden,India,70% Dark Bites,2022-06-06,3640,106,2022,6,6,Monday,0,23,2,0,34.339622641509436,1,2,16,77.0,477.0,150.28571428571428,194.5
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231,130,2022,6,15,Wednesday,2,24,2,0,55.62307692307692,1,3,3,106.0,157.0,146.42857142857142,194.66666666666666
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267,216,2022,6,20,Monday,0,25,2,0,5.8657407407407405,1,4,8,130.0,122.0,159.85714285714286,195.33333333333334
Gigi Bohling,UK,70% Dark Bites,2022-06-21,840,81,2022,6,21,Tuesday,1,25,2,0,10.37037037037037,1,4,9,216.0,100.0,157.14285714285714,193.33333333333334
Karlen McCaffrey,Australia,70% Dark Bites,2022-06-24,238,317,2022,6,24,Friday,4,25,2,0,0.750788643533123,1,0,15,81.0,344.0,153.28571428571428,193.86666666666667
Karlen McCaffrey,Canada,70% Dark Bites,2022-06-24,7714,597,2022,6,24,Friday,4,25,2,0,12.921273031825796,1,1,15,317.0,146.0,217.71428571428572,213.53333333333333
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275,115,2022,6,27,Monday,0,26,2,0,19.782608695652176,1,5,2,597.0,77.0,223.14285714285714,207.86666666666667
Curtice Advani,India,70% Dark Bites,2022-07-05,2282,44,2022,7,5,Tuesday,1,27,3,0,51.86363636363637,1,2,6,115.0,106.0,214.28571428571428,205.73333333333332
Camilla Castle,Canada,70% Dark Bites,2022-07-27,9716,151,2022,7,27,Wednesday,2,30,3,0,64.34437086092716,1,1,4,44.0,130.0,217.28571428571428,203.33333333333334
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126,40,2022,8,2,Tuesday,1,31,3,0,3.15,1,3,15,151.0,216.0,192.14285714285714,194.5
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372,105,2022,8,18,Thursday,3,33,3,0,13.066666666666666,1,0,9,40.0,81.0,195.57142857142858,186.26666666666668
Rafaelita Blaksland,New Zealand,70% Dark Bites,2022-08-24,679,280,2022,8,24,Wednesday,2,34,3,0,2.425,1,3,21,105.0,317.0,190.28571428571428,187.63333333333333
Curtice Advani,India,85% Dark Bars,2022-01-18,273,402,2022,1,18,Tuesday,1,3,1,0,0.6791044776119403,2,2,6,0.0,0.0,0.0,0.0
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381,417,2022,2,1,Tuesday,1,5,1,0,8.107913669064748,2,3,20,402.0,0.0,0.0,0.0
Barr Faughny,Australia,85% Dark Bars,2022-02-10,8498,44,2022,2,10,Thursday,3,6,1,0,193.13636363636363,2,0,1,417.0,0.0,0.0,0.0
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139,45,2022,2,16,Wednesday,2,7,1,0,136.42222222222222,2,1,2,44.0,0.0,0.0,0.0
Brien Boise,Canada,85% Dark Bars,2022-02-17,10241,259,2022,2,17,Thursday,3,7,1,0,39.54054054054054,2,1,3,45.0,0.0,0.0,0.0
Madelene Upcott,Canada,85% Dark Bars,2022-02-17,7504,101,2022,2,17,Thursday,3,7,1,0,74.29702970297029,2,1,17,259.0,0.0,0.0,0.0
Jehu Rudeforth,New Zealand,85% Dark Bars,2022-03-11,6972,89,2022,3,11,Friday,4,10,1,0,78.33707865168539,2,3,13,101.0,0.0,193.85714285714286,0.0
Karlen McCaffrey,India,85% Dark Bars,2022-03-30,945,83,2022,3,30,Wednesday,2,13,1,0,11.385542168674698,2,2,15,89.0,402.0,148.28571428571428,0.0
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881,420,2022,4,5,Tuesday,1,14,2,0,16.383333333333333,2,0,7,83.0,417.0,148.71428571428572,0.0
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911,82,2022,4,5,Tuesday,1,14,2,0,108.67073170731707,2,5,0,420.0,44.0,154.14285714285714,0.0
Kaine Padly,Canada,85% Dark Bars,2022-04-06,1729,31,2022,4,6,Wednesday,2,14,2,0,55.774193548387096,2,1,14,82.0,45.0,152.14285714285714,0.0
Roddy Speechley,New Zealand,85% Dark Bars,2022-04-14,4844,275,2022,4,14,Thursday,3,15,2,0,17.614545454545453,2,3,22,31.0,259.0,154.42857142857142,0.0
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428,424,2022,4,20,Wednesday,2,16,2,0,3.3679245283018866,2,1,18,275.0,101.0,200.57142857142858,0.0
Dotty Strutley,USA,85% Dark Bars,2022-04-25,10220,508,2022,4,25,Monday,0,17,2,0,20.118110236220474,2,5,8,424.0,89.0,260.42857142857144,0.0
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401,78,2022,4,25,Monday,0,17,2,0,30.78205128205128,2,5,4,508.0,83.0,259.7142857142857,0.0
Camilla Castle,India,85% Dark Bars,2022-05-04,9023,51,2022,5,4,Wednesday,2,18,2,0,176.92156862745097,2,2,4,78.0,420.0,207.0,0.0
Mallorie Waber,USA,85% Dark Bars,2022-05-11,2632,108,2022,5,11,Wednesday,2,19,2,0,24.37037037037037,2,5,18,51.0,82.0,210.71428571428572,0.0
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404,187,2022,5,12,Thursday,3,19,2,0,28.898395721925134,2,3,6,108.0,31.0,233.0,0.0
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654,14,2022,5,19,Thursday,3,20,2,0,261.0,2,0,4,187.0,275.0,195.71428571428572,0.0
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100,157,2022,5,23,Monday,0,21,2,0,13.375796178343949,2,3,1,14.0,424.0,157.57142857142858,0.0
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722,121,2022,5,24,Tuesday,1,21,2,0,14.231404958677686,2,3,23,157.0,508.0,102.28571428571429,0.0
Jan Morforth,India,85% Dark Bars,2022-05-25,4760,418,2022,5,25,Wednesday,2,21,2,0,11.38755980861244,2,2,12,121.0,78.0,150.85714285714286,0.0
Marney O'Breen,New Zealand,85% Dark Bars,2022-05-30,1218,149,2022,5,30,Monday,0,22,2,0,8.174496644295303,2,3,19,418.0,51.0,164.85714285714286,0.0
Mallorie Waber,New Zealand,85% Dark Bars,2022-06-06,7714,106,2022,6,6,Monday,0,23,2,0,72.77358490566037,2,3,18,149.0,108.0,164.57142857142858,0.0
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085,172,2022,6,8,Wednesday,2,23,2,0,6.308139534883721,2,4,6,106.0,187.0,162.42857142857142,0.0
Madelene Upcott,Australia,85% Dark Bars,2022-06-16,1575,329,2022,6,16,Thursday,3,24,2,0,4.787234042553192,2,0,17,172.0,14.0,207.42857142857142,0.0
Kaine Padly,USA,85% Dark Bars,2022-06-22,483,259,2022,6,22,Wednesday,2,25,2,0,1.864864864864865,2,5,14,329.0,157.0,222.0,0.0
Kelci Walkden,UK,85% Dark Bars,2022-06-23,3997,228,2022,6,23,Thursday,3,25,2,0,17.530701754385966,2,4,16,259.0,121.0,237.28571428571428,0.0
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362,94,2022,6,23,Thursday,3,25,2,0,131.51063829787233,2,4,9,228.0,418.0,191.0,0.0
Karlen McCaffrey,New Zealand,85% Dark Bars,2022-06-28,6069,55,2022,6,28,Tuesday,1,26,2,0,110.34545454545454,2,3,15,94.0,149.0,177.57142857142858,190.2
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924,12,2022,6,28,Tuesday,1,26,2,0,1243.6666666666667,2,4,5,55.0,106.0,164.14285714285714,177.2
Dennison Crosswaite,India,85% Dark Bars,2022-06-30,4515,22,2022,6,30,Thursday,3,26,2,0,205.22727272727272,2,2,7,12.0,172.0,142.71428571428572,164.03333333333333
Oby Sorrel,Australia,85% Dark Bars,2022-06-30,6944,27,2022,6,30,Thursday,3,26,2,0,257.18518518518516,2,0,20,22.0,329.0,99.57142857142857,163.46666666666667
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007,135,2022,6,30,Thursday,3,26,2,0,51.903703703703705,2,5,10,27.0,259.0,81.85714285714286,166.46666666666667
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981,130,2022,7,5,Tuesday,1,27,3,0,69.08461538461539,2,2,20,135.0,228.0,67.85714285714286,162.16666666666666
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502,64,2022,7,7,Thursday,3,27,3,0,85.96875,2,4,13,130.0,94.0,63.57142857142857,160.93333333333334
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200,80,2022,7,8,Friday,4,27,3,0,52.5,2,0,22,64.0,55.0,67.14285714285714,160.63333333333333
Van Tuxwell,UK,85% Dark Bars,2022-07-11,3577,134,2022,7,11,Monday,0,28,3,0,26.69402985074627,2,4,23,80.0,12.0,84.57142857142857,162.33333333333334
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205,179,2022,7,19,Tuesday,1,29,3,0,12.318435754189943,2,2,19,134.0,22.0,107.0,154.3
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896,94,2022,8,1,Monday,0,31,3,0,84.0,2,2,23,179.0,27.0,116.57142857142857,154.7
Dennison Crosswaite,Canada,85% Dark Bars,2022-08-01,10885,90,2022,8,1,Monday,0,31,3,0,120.94444444444444,2,1,7,94.0,135.0,110.14285714285714,156.66666666666666
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827,117,2022,8,2,Tuesday,1,31,3,0,15.615384615384615,2,3,24,90.0,130.0,108.28571428571429,151.4
Husein Augar,USA,85% Dark Bars,2022-08-08,378,54,2022,8,8,Monday,0,32,3,0,7.0,2,5,11,117.0,64.0,106.85714285714286,139.06666666666666
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099,55,2022,8,8,Monday,0,32,3,0,274.5272727272727,2,3,4,54.0,80.0,103.28571428571429,123.96666666666667
Brien Boise,India,85% Dark Bars,2022-08-09,18032,205,2022,8,9,Tuesday,1,32,3,0,87.9609756097561,2,2,3,55.0,134.0,113.42857142857143,128.2
Andria Kimpton,Australia,85% Dark Bars,2022-08-23,4186,233,2022,8,23,Tuesday,1,34,3,0,17.965665236051503,2,0,0,205.0,179.0,121.14285714285714,134.26666666666668
Beverie Moffet,USA,85% Dark Bars,2022-08-23,12404,334,2022,8,23,Tuesday,1,34,3,0,37.137724550898206,2,5,2,233.0,94.0,155.42857142857142,141.8
Barr Faughny,USA,85% Dark Bars,2022-08-25,12761,47,2022,8,25,Thursday,3,34,3,0,271.51063829787233,2,5,1,334.0,90.0,149.28571428571428,137.13333333333333
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,2541,53,2022,8,26,Friday,4,34,3,0,47.943396226415096,2,0,18,47.0,117.0,140.14285714285714,138.43333333333334
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,11200,22,2022,8,30,Tuesday,1,35,3,0,509.09090909090907,2,3,2,53.0,54.0,135.57142857142858,133.93333333333334
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310,282,2022,1,3,Monday,0,1,1,0,33.01418439716312,3,4,8,0.0,0.0,0.0,0.0
Jehu Rudeforth,USA,99% Dark & Pure,2022-01-04,2534,219,2022,1,4,Tuesday,1,1,1,0,11.570776255707763,3,5,13,282.0,0.0,0.0,0.0
Curtice Advani,Australia,99% Dark & Pure,2022-01-07,4676,84,2022,1,7,Friday,4,1,1,0,55.666666666666664,3,0,6,219.0,0.0,0.0,0.0
Marney O'Breen,UK,99% Dark & Pure,2022-01-13,8113,194,2022,1,13,Thursday,3,2,1,0,41.81958762886598,3,4,19,84.0,0.0,0.0,0.0
Van Tuxwell,Australia,99% Dark & Pure,2022-01-17,112,128,2022,1,17,Monday,0,3,1,0,0.875,3,0,23,194.0,0.0,0.0,0.0
